x,y,z,line
13180,65,7392,   
13189,65,7387,BarrenDome HowDidWeGetHere Advancement 21Sep17
39,59,-6455,scared me too   -norisak
41,59,-6454,me too!   
39,58,-6453,scarry as fuck leimo 28 May 2017 
41,58,-6453,Lol i had to second look to -unofficialspeed
40,57,-6450,Obsidian by toysoildier  
3,41,-6998,can someone please fix this  place Namy_McNameface
0,41,-6985,finnoob was here 25 may 2019  
2,41,-6984,northaxe was here Sept 10th 2019 
1,43,-6980,Elijahd1 6/6/19 4:27 am cool place nigga 
2,41,-6983,optixtiger was here 10/07/2019 
39,57,-7104,/\ Hell  
40,57,-7081,Dw no hole   
40,57,-7192,Don't let the zone consume you. -Gsmack 
41,58,-8569,ssssss   
41,58,-8568,<----- there is  fruits everywhere baka >.<
41,57,-8569,Have to be more  prepared dude leimo 28 May 2017
-1222,78,-392,TheMlgFox was here 2/22/2019  
-1216,76,-391, Zemor  
46,172,-806,ek sal jou dood kont  
45,172,-805,Max_Caruso was here August 14. 2019 elytras in da end
310,63,-1024,Little Farm Made By BryceC1213 12/7/17
0,41,-10001,lonley -optixtiger   
30,58,-10178,HAHA --> what idiot  try to light a portal here?
38,57,-10637,construction in progress  
37,57,-10635,nice progress   
37,57,-10633,Gsmack was here 1/30/19 ~Neat
6968,57,-2258,Keep Going!  - Popzi July 2016
6966,57,-2129,This Way! :) 
-1253,58,-6988,jay_theact was  here 11/18/16 
-1233,60,-6970,   
-1233,60,-6969,   
19,61,-13119,lit new op  highland end  base 
-1240,63,-714,Found a corpse left the items in the chest. Took the End Crystals
-1241,63,-714,Klimax was here 4:20 Blaze it! 10/22/17
48,123,-1428,I built this 1i_  message me on discord TheDark_Emperor#5963
157,61,-1458,Build this  for everyone MorbidRain 
157,61,-1456,Abandoned MorbidRain  
306,63,-1026,   
306,62,-1026,   
7097,58,1097,"2TOOLS CAFE ""When 3 tools is just too much"" -msunc 12/14/16"
1,41,-1905,Namy_McNameface was here  Jan 30th 2019
1,41,-1904,DidYouKnowbot  was here AND FUCKING SENT IT 3/21/19
1,41,-1903,PixelPlay473 Has  been here.August  5th. 2019 
1,41,-1902,northaxe was here Sept 8th 2019 
44,58,-20004,1k looked better  -LeafHacker Nov 2016
45,58,-20005,"YellowstoneJoe passing thru  Dec 5, 2016"
46,57,-20003,BarreDome made it  29Nov16
46,57,-20002,GoldenApple231 made it here!! 31st December 2016
45,57,-20004,B17bombe was here  
44,57,-20003,acceler8r was here 14th December 2016
45,57,-20003,Jatswen Paradox was here 12/4/16 
49,61,-20006,Dv86 was here 3/31/2019 8:26 PM 
48,59,-20006,ToobyTooty was here Jan 16 2017 
48,61,-20006,SkullerG was here 1.31.19 Re-Enabled End Portals kek
51,59,-20006,Gsmack was here End ReEnabled! 1/30/19
52,59,-20006,Ledge Was Here 30/06/2017
49,59,-20006,Galheris was here jan 27 2017
50,59,-20006,ABNER83 WAS HERE 5/12/17 
52,59,-20005,LucidLullabye was here  6-14-2019   L.L.
52,59,-20004,PixelPlay473 was  here 8/28/19 M/D/Y
0,75,-2502,Ilmango's Ice Highway  built by 1i_
106,163,-2537,Elytras are temporarily disabled due to unforseen
106,162,-2537,consequences   
498,41,-2324,"Fallout Bunker 88 by SoloPlayer88 Feb 21, 2018 "
500,40,-2319,cool stuff  -OTWP 12.6.2018
498,41,-2320,Please use the fishing rod to repair the diamond pick. ->
498,42,-2319,"MysteryPlayer99 was here Nice Spot! Feb 13, 2019"
0,44,-2647,NotSoMrstylish has a large penis 
24,44,-3287,"AFK DONT KILL ME BRO I HAVE ALL AT  ECHEST, TY"
-1291,60,-2118,Hey i took some of your stuff but left most of it and didnt 
-1290,60,-2118,grief  -PeterRichard 11/23/16 
-1289,60,-2118,Thanks for the  prot 3! ~HappySeniorMan 
-1285,58,-2090, THE CHICKEN ZONE ~~~~~~~~~~~~ 
-1284,58,-2090,"*EXPERIEMENTAL CHICKENS- RADIOACTIVE, DO NOT EAT*"
40,60,-4373,What a beauty 07 Jan 2017 Crameras  HEIL STALIN
87,2,140,-idan-#7149   
182,1,163,dicke   09/17/2019
302,207,33,LaQuixote was here August 26 2019 first time in end
23,93,914, Enjoy the Great Unknown 
-1416,220,22,the earth is  flat.  
-1415,220,22,So is ur mums tits   
255,59,6886,Nooners Islands Under  Construction 
259,58,6891,yarnamite made this  its cool
261,57,6892,break when down   
268,66,6900,Nooner's  Retirment Home Get Off My Lawn 
51,3,1535,can you reach the end of this Railroad? 
65,9,1495,   
64,9,1504,   
64,10,1519,   
64,9,1513,   
64,10,1514,   
65,9,1513,   
64,10,1513,   
64,11,1512,   
65,9,1504,   
64,10,1520,   
64,9,1531,   
65,9,1531,   
64,9,1529,   
65,9,1529,   
64,10,1528,   
64,10,1529,   
64,10,1527,   
64,10,1525,   
90,4,1530,* * * Farms * * * 
89,3,1522,* * * Maintenance Tunnel * * *
101,3,1329, TheSpookyBone it's close June 11 2019
359,12,1075,Enjoy ¡¡¡¡  TerraNigrum 03/08/2016
382,10,1068,v999 aka shadow8 was here 6.9.2019 m.d.y
387,11,1063,crystalfrosty 2012-16  
387,10,1061,Jarhead541 was here 4/24/19 
387,10,1060,GekkeMano was here 02/07/2019 
388,12,1070,kekkekekeke   0P3 6/10/16
386,10,1070,bob112 was here   
386,11,1070,PRThomas was here 22/5/18 good things never last
385,11,1070,Klysmo was here. 4/19/19  
399,51,1075,SaturnIsaPlanet was here 7/22/19 
407,9,1082,Just void better  try the  other way. TerraNigrum
1,57,10929,Gbro08's end highway enjoy! Built 3/14/17 
1,57,11176,These bridges are driving me crazy... Bt_bt 13.05.2017
6,59,11186,Gbro08's Cage Est 3/14/17  
-1476,57,9088,Follow the Yellow Brick Road! Mike_embed Im lost
430,61,11289,Raided by Miguelo4001 27 JAN 2017 
18,63,12031,log out peaceskeeper_Jr i loged here dont grief it
-1531,59,11200,Thanks Notch! For the shu boxs Mike_embed 2-17-2017
64,10,1537,   
64,9,1547,   
65,9,1547,   
64,10,1546,   
64,10,1544,   
64,10,1545,   
65,9,1538,   
64,9,1538,   
65,9,1565,   
350,78,1980,6.8.2019 LIF3KEY & Armorsmith
393,181,1904, Jarhead541 was here 4/29/19
393,185,1904,Gadget64 mined here the last of SpaceValk's glass 7/18/19 m/d/y
393,184,1904,Klysmo was here   4/19/19
393,183,1904,SSJNSSJN SSJNSSJN's Banner. 
393,182,1904,"Told you i'd put it somewhere special, I hope this suffices."
407,180,1947,TheSpookyBone 2019-06-11  
407,180,1948,buckylarson 2019-06-07  
407,180,1949,Baumbeezy Was here  6-23-19 
407,180,1957,Jman2 was here 2019-06-05 
415,180,1983,Here lay the  remains of  Space Valkyria 
418,182,1983,GekkeMano roamed here 02/7/2019 :p
443,57,1824,Albatros_  just maybe died here 
437,57,1830,the remains of  space valkyria
-1441,59,12345,Late sign  Highway is the  only way -Gbro08 3/14/17
394,181,2051,....   
414,180,2082,LordKai1 of The Astral Order was here. 6/20/19 10:54 PM
406,61,2700,hey there how are u doing? some random guy 2018
790,38,-199,Friedo20190428 also had to make a lava cast and added the stairLC
791,38,-199,ToobyTooty was  here 4/24/2016 Had to make lava cast for blocks
-1307,61,2124,LOL   
783,61,-7853,Gift For Whom Ever Finds This 12 01 2016 -Surviverkiller
527,62,-858, CASA DE MICHAELMCCHILL 
564,63,-909,who the FUCK is klubTHEminecart 
589,61,-886,househousehouse 1 please die slow 
588,61,-886,ty 4 shulkers <3   
588,60,-884,/ / / / \ \ \ \ / / / { o } | { o } |  |  |         \       |  |  |    \______/
683,61,-998,Gnomey's afk sex spot 
718,61,-1004,I kept your  Shulkers safe Ask Kardax for them <3
753,62,-1020,Some Echest to help out courtesy of SCC ELVEng
614,64,-11554,dae1250 was here 7th July 2017 
622,62,-11541,--------------- Basic Cobble Generator ---------------
634,60,-11552,dae1250's end outpost.  
1019,57,-13373,Need Cobble? I left some here  //fmode
718,74,-1061,do not add extra layers follow the plans -emperor
724,53,-1030,   
815,56,-1062,Black Freighter Build by:  Dr_Frankfurt
548,2,27,Aqebbz CHURM  shack population PUT YOUR CHURM I
548,2,28,TheSpookyBone was here. Going to see space valk June 11 2019
548,1,27,assmilkk was here 19 july  
598,72,375,Jukepolice was  here 27 April 2016
597,72,375,KhanTusion 20150210  
599,71,375,"nigre   6 april, 2016"
600,72,375,Songsayer was here 5/30/16 
599,72,375, Carl_Plemens 28 April 2016 (at like 3 am est)
603,74,381,HAVE YOU SEEN THIS MAN???  
602,72,375,Mike_embed what is this? 2-11-2017 i hate heights !
601,71,375,lmproves schoolmates Cody 6.14.2016
600,71,375,Came back in  search of sticky pistons- Carl June 28 2016
601,72,375,SCOTT_FREE 2016 B====D~~~ 
603,72,375,was this a lag machine? 1i_ 12/11/2017
